Name	Id	Type	Is3D
deal	123	0	-
defeat	124	0	-
quarry up	125	0	-
quarry down	126	0	-
shuffle	127	0	-
title	128	0	-
tower up	129	0	-
typing	130	0	-
victory	131	0	-
wall up	132	0	-
luteguitar	133	system	-
panflute	134	system	-
trumpet	135	system	-
gold01	200	system	-
tip	201	swap	-
heal	202	swap	-
fizzle	203	swap	-
TurnPageU	204	system	-
TurnPageD	205	system	-
batlleen	206	system	-
batllest	207	system	-
openchest0101	208	swap	-
spellfail0201	209	system	-
drink	210	swap	-
eat	211	swap	-
pickup	212	swap	-
fixit	213	swap	-
mixpotion	214	swap	-
gong	215	swap	-
flute	216	swap	-
harp	217	swap	-
church	218	swap	-
chimes	219	swap	-
splash	220	swap	-
star1	221	system	-
star2	222	system	-
star4	224	system	-
eradicate	225	system	-
eleccircle	226	system	-
encounter	227	swap	-
bubbling cauldron01	228	0	-
memorycrystal	229	0	-
openbook	230	system	-
closebook	231	system	-
teleport	232	swap	-
wolfhowl	233	0	x
wood door0101	300	0	x
dr_lock401	301	0	x
wood door0201	302	0	x
dr_lock101	303	0	x
wood door0301	304	0	x
dr_lock101	305	0	x
wood door0401	306	0	x
dr_lock101	307	0	x
wood door0501	308	0	x
dr_lock401	309	0	x
stone door0101	400	0	x
stone doorclse0101	401	0	x
stone door0201	402	0	x
stone doorclse0101	403	0	x
stone door0301	404	0	x
stone doorclse0101	405	0	x
stone door0401	406	0	x
stone doorclse0101	407	0	x
stone door0501	408	0	x
stone doorclse0101	409	0	x
Alarm Bell 1	500	swap	-
Alarm Bell 2	501	swap	-
Cargo Elevator	502	swap	-
Cargo Elevatorb	503	swap	-
Church Bell	504	swap	-
Going Down	505	swap	-
Going Downb	506	swap	-
Going Up	507	swap	-
Going Upb	508	swap	-
Tone1	509	swap	-
Tone2	510	swap	-
Tone3	511	swap	-
Tone4	512	swap	-
Alarm Bell 1b	513	swap	-
Alarm Bell 2b	514	swap	-
humming	515	swap	-
hesgone	997	swap	-
death	998	swap	-
TorchLight	10000	swap	-
04firebolt01	10010	swap	x
04firebolt03	10011	swap	x
TorchLight2	10020	swap	-
Fireaura01	10030	swap	x
Haste	10040	swap	-
06fireball01	10050	swap	x
Fireball2	10051	swap	x
08fireblast03	10060	swap	x
06fireball03	10061	swap	x
Immolation	10070	swap	x
Meteor Shower 1	10080	swap	x
09metoershower03	10081	swap	x
Inferno	10090	swap	x
Incinerate	10100	swap	x
11Incinerate03	10101	swap	x
12WizardEye03	11000	swap	-
FeatherFall	11010	swap	-
14p	11020	swap	-
15Sparks01	11030	swap	x
15sparks03	11031	swap	-
29unlock03	11040	swap	-
shield02_character-portrait	11050	swap	-
18LightningBolt03	11060	swap	x
wizard_eye_interface-image	11070	swap	-
20implosion03	11080	swap	-
21fly03	11090	swap	-
Starburst	11100	swap	-
22Starburst03	11101	swap	-
23Awaken03	12000	swap	-
Poison Spray	12010	swap	x
24coldbeam03	12011	swap	-
Water Resistance	12020	swap	-
Ice Bolt	12030	swap	-
28icebolt03	12031	swap	-
Waterwalk	12040	swap	-
Dispell Magic	12050	swap	x
39blades03	12060	swap	-
20implosion03	12071	swap	-
Enchant Item	12070	swap	x
Town Portal	12080	swap	-
IceBlast	12090	swap	-
IceBlast2	12091	swap	-
Lloyds beacon	12100	swap	-
Stun1	13000	swap	-
34Stun03	13001	swap	-
44MassDistortion03	13010	swap	-
Earth Resistance	13020	swap	-
37DeadlySwarm03	13030	swap	-
Deadly Swarm Explosion	13031	swap	-
Stoneskin	13040	swap	-
92shapmetal01	13050	swap	-
40stonetoflesh03	13060	swap	-
rockblast_projectile	13070	swap	-
41rockblast03	13071	swap	-
Day of Protection	13080	swap	-
43deathblossom01	13090	swap	-
43deathblossom03	13091	swap	-
44MassDistortion01	13100	swap	-
Detect Life	14000	swap	-
Bless	14010	swap	-
Fate	14020	swap	-
54sharedlife03	14030	swap	-
49RemoveCurse03	14040	swap	-
Preservation	14050	swap	-
51heroism03	14060	swap	-
28icebolt01	14070	swap	-
53raisedead03	14080	swap	-
54Sharedlife03	14090	swap	-
55resurection03	14100	swap	-
57removefear03	15000	swap	-
MindBlast_Frnt_projectile	15010	swap	-
58mindblast03	15011	swap	-
Mind resistance	15020	swap	-
Telepathy	15030	swap	-
Heroism	15040	swap	-
60cureparalasis03	15050	swap	-
63feeblemind02	15060	swap	-
65psychicshock03	15070	swap	-
64cureinsanity03	15080	swap	-
Psychic Shock	15090	swap	-
58mindblast03	15091	swap	-
Enslave	15100	swap	-
Cure Weakness	16000	swap	-
Heal	16010	swap	-
69protectionfrompoison03	16020	swap	-
harm_rear_projectile	16030	swap	-
Harm	16031	swap	-
Regeneration	16040	swap	-
72curepoison03	16050	swap	-
hammerhands_character-portrait	16060	swap	-
74curedisease03	16070	swap	-
awaken2	16080	swap	-
Flying Fist	16090	swap	-
76flyingfist03	16091	swap	-
Power Cure	16100	swap	-
02Flame01	17000	swap	-
02Flame03	17001	swap	-
55resurection03	17010	swap	-
Recharge Item	17020	swap	-
Paralyze	17030	swap	-
Sparks	17040	swap	-
Day of the Gods	17050	swap	-
Prismatic Light	17060	swap	-
94dayofprotection03	17070	swap	-
9armageddon01	17080	swap	-
sunray	17090	swap	-
86sunray03	17091	swap	-
Devine Intervention	17100	swap	-
Reanimate	18000	swap	-
Toxic Cloud	18010	swap	-
90toxiccloud03	18011	swap	-
Vampric Weapon	18020	swap	-
Shrink ray	18030	swap	-
Shrapmetal_projectile_bb	18040	swap	-
92shapmetal03	18041	swap	-
Control Undead	18050	swap	-
Sacrifice2	18060	swap	-
Soul Drinker	18070	swap	-
Dragon Breath	18080	swap	-
dragonbreath_explosion	18081	swap	-
9armageddon02	18090	swap	-
95fingerofdeath01	18100	swap	-
Arch-angel_attk	1000	0	x
Arch-angel_die	1001	0	x
Arch-angel_wince	1002	0	x
Arch-angel_fly	1003	0	x
Archer-male_attk	1010	0	x
Archer-male_die	1011	0	x
Archer-male_wince	1012	0	x
	1013	0	x
Bat_attk	1020	0	x
Bat_die	1021	0	x
Bat_wince	1022	0	x
Bat_aware	1023	0	x
Behemoth_attk	1030	0	x
Behemoth_die	1031	0	x
Behemoth_wince	1032	0	x
Behemoth_aware	1033	0	x
Beholder_attk	1040	0	x
Beholder_die	1041	0	x
Beholder_wince	1042	0	x
Beholder_aware	1043	0	x
Cleric-moon_attk	1050	0	x
Cleric-moon_die	1051	0	x
Cleric-moon_wince	1052	0	x
	1053	0	x
Cleric-sun_attk	1060	0	x
Cleric-sun_die	1061	0	x
Cleric-sun_wince	1062	0	x
	1063	0	x
Devil_attk	1070	0	x
Devil_die	1071	0	x
Devil_wince	1072	0	x
Devil_aware	1073	0	x
Dragon _attk	1080	0	x
Dragon _die	1081	0	x
Dragon _wince	1082	0	x
Dragon_aware	1083	0	x
Dragonfly_attk	1090	0	x
Dragonfly_die	1091	0	x
Dragonfly_wince	1092	0	x
Dragonfly_aware	1093	0	x
Dwarf_attk	1100	0	x
Dwarf_die	1101	0	x
Dwarf_wince	1102	0	x
	1103	0	x
Air elem_attk	1110	0	x
Air elem_die	1111	0	x
Air elem_wince	1112	0	x
Air elem_fly	1113	0	x
Earth elem_attk	1120	0	x
Earth elem_die	1121	0	x
Earth elem_wince	1122	0	x
Earth elem_walk	1123	0	x
Fire elem_attk	1130	0	x
Fire elem_death	1131	0	x
Fire elem_wince	1132	0	x
Fire elem_fly	1133	0	x
Light_action	1140	0	x
Light_die01	1141	0	x
Light_diewav	1142	0	x
	1143	0	x
Water elem_attk	1150	0	x
Water elem_die	1151	0	x
Water elem_wince	1152	0	x
Water elem_walk	1153	0	x
Elf archer_attk	1160	0	x
Elf archer_die	1161	0	x
Elf archer_wince	1162	0	x
	1163	0	x
Elf spear man_attk	1170	0	x
ELf spear man_die	1171	0	x
Elf spear man_wince	1172	0	x
	1173	0	x
Fighter-chain_attk	1180	0	x
Fighter-chain_die	1181	0	x
Fighter-chain_wince	1182	0	x
	1183	0	x
Fighter_leather_attk	1190	0	x
Fighter_leather_die	1191	0	x
Fighter_leather_wince	1192	0	x
	1193	0	x
Fighter-plate_attk	1200	0	x
Fighter-plate_die	1201	0	x
Fighter-plate_wince	1202	0	x
	1203	0	x
Gargoyle_attk	1210	0	x
Gargoyle_die	1211	0	x
Gargoyle_wince	1212	0	x
Gargoyle_aware	1213	0	x
Genie_attk	1220	0	x
Genie_die	1221	0	x
Genie_wince	1222	0	x
	1223	0	x
Ghost_attk	1230	0	x
Ghost_die	1231	0	x
Ghost_wince	1232	0	x
Ghost_aware	1233	0	x
Goblin_attk	1240	0	x
Goblin_die	1241	0	x
Goblin_wince	1242	0	x
	1243	0	x
Golem_attk	1250	0	x
Golem_die	1251	0	x
Golem_wince	1252	0	x
	1253	0	x
Gog_attk	1260	0	x
Gog_die	1261	0	x
Gog_wince	1262	0	x
	1263	0	x
Griffin_attk	1270	0	x
Griffin_die	1271	0	x
Griffin_wince	1272	0	x
Griffen_aware	1273	0	x
Harpy_attk	1280	0	x
Harpy_die	1281	0	x
Harpy_wince	1282	0	x
Harpy_aware	1283	0	x
Hydra_attk	1290	0	x
Hydra_die	1291	0	x
Hydra_wince	1292	0	x
Hydra_aware	1293	0	x
Lich_attk	1300	0	x
Lich_die	1301	0	x
Lich_wince	1302	0	x
Lich_aware	1303	0	x
Mage_attk	1310	0	x
Mage_die	1311	0	x
Mage_wince	1312	0	x
	1313	0	x
Manticore_attk	1320	0	x
Manticore_die	1321	0	x
Manticore_wince	1322	0	x
Manticore_aware	1323	0	x
Medusa_attk	1330	0	x
Medusa_Die	1331	0	x
Medusa_wince	1332	0	x
Medusa_aware	1333	0	x
Minotaur_attk	1340	0	x
Minotaur_Die	1341	0	x
Minotaur_wince	1342	0	x
Minotaur_aware	1343	0	x
Monk_attk	1350	0	x
Monk_die	1351	0	x
Monk_wince	1352	0	x
	1353	0	x
Necromancer_Attk	1360	0	x
Necromancer_die	1361	0	x
Necromancer_wince	1362	0	x
	1363	0	x
Ooze_attk	1370	0	x
Ooze_die	1371	0	x
Ooze_wince	1372	0	x
	1373	0	x
121PeasentF1A_Attack	1380	0	x
121PeasentF1A_Die	1381	0	x
121PeasentF1A_Charge	1382	0	x
	1383	0	x
121PeasentF1A_Attack	1390	0	x
121PeasentF1A_Die	1391	0	x
121PeasentF1A_Charge	1392	0	x
	1393	0	x
121PeasentF1A_Attack	1400	0	x
121PeasentF1A_Die	1401	0	x
121PeasentF1A_Charge	1402	0	x
	1403	0	x
Dwarf male peasant_attk	1410	0	x
Dwarf male peasant_die	1411	0	x
Dwarf male peasant_wince	1412	0	x
	1413	0	x
Dwarf male peasant_attk	1420	0	x
Dwarf male peasant_die	1421	0	x
Dwarf male peasant_wince	1422	0	x
	1423	0	x
Dwarf male peasant_attk	1430	0	x
Dwarf male peasant_die	1431	0	x
Dwarf male peasant_wince	1432	0	x
	1433	0	x
Elf-female peasant_attk	1440	0	x
Elf-female peasant_die	1441	0	x
Elf-female peasant_wince	1442	0	x
	1443	0	x
Elf-female peasant_attk	1450	0	x
Elf-female peasant_die	1451	0	x
Elf-female peasant_wince	1452	0	x
	1453	0	x
Elf-female peasant_attk	1460	0	x
Elf-female peasant_die	1461	0	x
Elf-female peasant_wince	1462	0	x
	1463	0	x
Elf-male peasant_Attk	1470	0	x
Elf-male peasant_die	1471	0	x
Elf-male peasant_wince	1472	0	x
	1473	0	x
Elf-male peasant_Attk	1480	0	x
Elf-male peasant_die	1481	0	x
Elf-male peasant_wince	1482	0	x
	1483	0	x
Elf-male peasant_Attk	1490	0	x
Elf-male peasant_die	1491	0	x
Elf-male peasant_wince	1492	0	x
	1493	0	x
127PeasentF3A_Attack	1500	0	x
127PeasentF3A_Die	1501	0	x
127PeasentF3A_Charge	1502	0	x
	1503	0	x
127PeasentF3A_Attack	1510	0	x
127PeasentF3A_Die	1511	0	x
127PeasentF3A_Charge	1512	0	x
	1513	0	x
127PeasentF3A_Attack	1520	0	x
127PeasentF3A_Die	1521	0	x
127PeasentF3A_Charge	1522	0	x
	1523	0	x
Human-male peasant2_attk	1530	0	x
Human-male peasant2_die	1531	0	x
Human-male peasant2_wince	1532	0	x
	1533	0	x
Human-male peasant2_attk	1540	0	x
Human-male peasant2_die	1541	0	x
Human-male peasant2_wince	1542	0	x
	1543	0	x
Human-male peasant2_attk	1550	0	x
Human-male peasant2_die	1551	0	x
Human-male peasant2_wince	1552	0	x
	1553	0	x
Human-male peasant2_attk	1560	0	x
Human-male peasant2_die	1561	0	x
Human-male peasant2_wince	1562	0	x
	1563	0	x
Human-male peasant2_attk	1570	0	x
Human-male peasant2_die	1571	0	x
Human-male peasant2_wince	1572	0	x
	1573	0	x
Human-male peasant2_attk	1580	0	x
Human-male peasant2_die	1581	0	x
Human-male peasant2_wince	1582	0	x
	1583	0	x
136PeasentM2A_Attack	1590	0	x
136PeasentM2A_Die	1591	0	x
136PeasentM2A_Charge	1592	0	x
	1593	0	x
136PeasentM2A_Attack	1600	0	x
136PeasentM2A_Die	1601	0	x
136PeasentM2A_Charge	1602	0	x
	1603	0	x
136PeasentM2A_Attack	1610	0	x
136PeasentM2A_Die	1611	0	x
136PeasentM2A_Charge	1612	0	x
	1613	0	x
Freakin' rat_attk	1620	0	x
Freakin' rat_die	1621	0	x
Freakin' rat_wince	1622	0	x
Freakin rats_aware	1623	0	x
RobotAttack	1630	0	x
RobotDeath	1631	0	x
RobotWince	1632	0	x
RobotAware	1633	0	x
Roc_attk	1640	0	x
Roc_die	1641	0	x
Roc_wince	1642	0	x
Roc_aware	1643	0	x
Sea Monster_attk	1650	0	x
Sea Monster_die	1651	0	x
Sea Monster_wince	1652	0	x
Sea Monster_aware	1653	0	x
154SkeletonA_Attack	1660	0	x
154SkeletonA_Die	1661	0	x
154SkeletonA_Charge	1662	0	x
154SkeletonA_Move	1663	0	x
Spider_attk	1670	0	x
Spider_die	1671	0	x
Spider_wince	1672	0	x
Spider_aware	1673	0	x
Swordsman_attk	1680	0	x
Swordsman_die	1681	0	x
Swordsman_wince	1682	0	x
	1683	0	x
Thief_attk	1690	0	x
Thief_Die	1691	0	x
Thief_wince	1692	0	x
	1693	0	x
Titan_attk	1700	0	x
Titan_die	1701	0	x
Titan_Wince	1702	0	x
	1703	0	x
Troglodyte_attk	1710	0	x
Troglodyte_die	1711	0	x
Troglodyte_wince	1712	0	x
	1713	0	x
Vampire_attk	1720	0	x
Vampire_die	1721	0	x
Vampire_wince	1722	0	x
Vampire_aware	1723	0	x
Warlock_attk	1730	0	x
Warlock_die	1731	0	x
Warlock_wince	1732	0	x
	1733	0	x
Wight_attk	1740	0	x
Wight_die	1741	0	x
Wight_wince	1742	0	x
Wight_aware	1743	0	x
Wyvern_attk	1750	0	x
Wyvern_die	1751	0	x
Wyvern_wince	1752	0	x
Wyvern_aware	1753	0	x
Zomdie_Attk	1760	0	x
Zomdie_die	1761	0	x
Zomdie_wince	1762	0	x
Zombie_aware	1763	0	x
Goblin female peasant_attk	1770	0	x
Goblin female peasant_Die	1771	0	x
Goblin female peasant_wince	1772	0	x
	1773	0	x
Goblin female peasant_attk	1780	0	x
Goblin female peasant_Die	1781	0	x
Goblin female peasant_wince	1782	0	x
	1783	0	x
Goblin female peasant_attk	1790	0	x
Goblin female peasant_Die	1791	0	x
Goblin female peasant_wince	1792	0	x
	1793	0	x
Goblin male peasant_attk	1800	0	x
Goblin male peasant_die	1801	0	x
Goblin male peasant_wince	1802	0	x
	1803	0	x
Goblin male peasant_attk	1810	0	x
Goblin male peasant_die	1811	0	x
Goblin male peasant_wince	1812	0	x
	1813	0	x
Goblin male peasant_attk	1820	0	x
Goblin male peasant_die	1821	0	x
Goblin male peasant_wince	1822	0	x
	1823	0	x
Troll_attk	1830	0	x
Troll_die	1831	0	x
Troll_wince	1832	0	x
Troll_aware	1833	0	x
TreatAttack	1840	0	x
TreatDeath	1841	0	x
TreatWince	1842	0	x
TreatAware	1843	0	x
GoulAttack	1850	0	x
GoulDeath	1851	0	x
GoulWince	1852	0	x
GoulAware	1853	0	x
BlasterGuyAttack	1860	0	x
BlasterGuyDeath	1861	0	x
BlasterGuyWince	1862	0	x
BlasterGuyAware	1863	0	x
01Female_Wince	2000	system	-
01Male_Wince	2001	system	-
02Female_Wince	2002	system	-
02Male_Wince	2003	system	-
03Female_Wince	2004	system	-
03Male_Wince	2005	system	-
04Female_Wince	2006	system	-
04Male_Wince	2007	system	-
05Female_Wince	2008	system	-
05Male_Wince	2009	system	-
hm101a	5000	swap	-
hm101c	5001	swap	-
hm102d	5002	swap	-
hm102e	5003	swap	-
hm103b	5004	swap	-
hm103e	5005	swap	-
hm104c	5006	swap	-
hm104d	5007	swap	-
hm105c	5008	swap	-
hm105d	5009	swap	-
hm106e	5010	swap	-
hm106f	5011	swap	-
hm107b	5012	swap	-
hm107e	5013	swap	-
hm108a	5014	swap	-
hm108c	5015	swap	-
hm109a	5016	swap	-
hm109e	5017	swap	-
hm110a	5018	swap	-
hm110e	5019	swap	-
hm111e	5020	swap	-
hm111f	5021	swap	-
hm112g	5022	swap	-
hm113a	5024	swap	-
hm113f	5025	swap	-
hm114e	5026	swap	-
hm115b	5028	lock	-
hm115f	5029	lock	-
hm116d	5030	swap	-
hm117a	5032	swap	-
hm118f	5034	swap	-
hm119e	5036	swap	-
hm120a	5038	swap	-
hm121d	5040	swap	-
hm122a	5042	swap	-
hm123a	5044	swap	-
hm123f	5045	swap	-
hm124b	5046	swap	-
hm124e	5047	swap	-
hm125a	5048	swap	-
hm126b	5050	swap	-
hm126d	5051	swap	-
hm127a	5052	swap	-
hm127c	5053	swap	-
hm128c	5054	swap	-
hm129a	5056	swap	-
hm129f	5057	swap	-
hm130a	5058	swap	-
hm131e	5060	swap	-
hm132d	5062	swap	-
hm133d	5064	swap	-
hm134d	5066	swap	-
hm135e	5068	swap	-
hm136d	5070	swap	-
hm137b	5072	swap	-
hm137d	5073	swap	-
hm138a	5074	swap	-
hm138b	5075	swap	-
hm139e	5076	swap	-
hm140d	5078	swap	-
hm141a	5080	swap	-
hm141d	5081	swap	-
hm142a	5082	swap	-
hm143a	5084	swap	-
hm144b	5086	swap	-
hm145b	5088	swap	-
hm145e	5089	swap	-
hm146d	5090	swap	-
hm147e	5092	swap	-
hm201a	5100	swap	-
hm202c	5102	swap	-
hm203d	5104	swap	-
hm204b	5106	swap	-
hm204d	5107	swap	-
hm205a	5108	swap	-
hm206a	5110	swap	-
hm206b	5111	swap	-
hm207a	5112	swap	-
hm207b	5113	swap	-
hm208a	5114	swap	-
hm208b	5115	swap	-
hm209c	5116	swap	-
hm210b	5118	swap	-
hm211b	5120	swap	-
hm211c	5121	swap	-
hm212a	5122	swap	-
hm213b	5124	swap	-
hm214b	5126	swap	-
hm215c	5128	lock	-
hm216b	5130	swap	-
hm217b	5132	swap	-
hm218b	5134	swap	-
hm219b	5136	swap	-
hm220c	5138	swap	-
hm221d	5140	swap	-
hm222b	5142	swap	-
hm223b	5144	swap	-
hm223e	5145	swap	-
hm224b	5146	swap	-
hm224c	5147	swap	-
hm225a	5148	swap	-
hm225b	5149	swap	-
hm226a	5150	swap	-
hm226c	5151	swap	-
hm227a	5152	swap	-
hm227c	5153	swap	-
hm228a	5154	swap	-
hm228c	5155	swap	-
hm229a	5156	swap	-
hm229b	5157	swap	-
hm230b	5158	swap	-
hm230c	5159	swap	-
hm231c	5160	swap	-
hm232c	5162	swap	-
hm233b	5164	swap	-
hm234b	5166	swap	-
hm235b	5168	swap	-
hm236a	5170	swap	-
hm237c	5172	swap	-
hm237e	5173	swap	-
hm238b	5174	swap	-
hm239c	5176	swap	-
hm240b	5178	swap	-
hm240e	5179	swap	-
hm241d	5180	swap	-
hm242b	5182	swap	-
hm242c	5183	swap	-
hm243a	5184	swap	-
hm243c	5185	swap	-
hm244a	5186	swap	-
hm244d	5187	swap	-
hm245b	5188	swap	-
hm246c	5190	swap	-
hm247c	5192	swap	-
hm301a	5200	swap	-
hm301c	5201	swap	-
hm302b	5202	swap	-
hm302d	5203	swap	-
hm303c	5204	swap	-
hm303d	5205	swap	-
hm304b	5206	swap	-
hm304c	5207	swap	-
hm305c	5208	swap	-
hm305e	5209	swap	-
hm306b	5210	swap	-
hm306d	5211	swap	-
hm307b	5212	swap	-
hm307d	5213	swap	-
hm308b	5214	swap	-
hm308d	5215	swap	-
hm309a	5216	swap	-
hm309d	5217	swap	-
hm310b	5218	swap	-
hm310c	5219	swap	-
hm311a	5220	swap	-
hm311c	5221	swap	-
hm312a	5222	swap	-
hm312d	5223	swap	-
hm313c	5224	swap	-
hm313d	5225	swap	-
hm314c	5226	swap	-
hm314e	5227	swap	-
hm315b	5228	lock	-
hm316b	5230	swap	-
hm317c	5232	swap	-
hm318d	5234	swap	-
hm319c	5236	swap	-
hm320a	5238	swap	-
hm321b	5240	swap	-
hm322c	5242	swap	-
hm323b	5244	swap	-
hm323c	5245	swap	-
hm324a	5246	swap	-
hm324b	5247	swap	-
hm325b	5248	swap	-
hm325d	5249	swap	-
hm326b	5250	swap	-
hm326e	5251	swap	-
hm327a	5252	swap	-
hm327b	5253	swap	-
hm328a	5254	swap	-
hm328b	5255	swap	-
hm329b	5256	swap	-
hm329c	5257	swap	-
hm330b	5258	swap	-
hm330c	5259	swap	-
hm331b	5260	swap	-
hm331c	5261	swap	-
hm332a	5262	swap	-
hm332d	5263	swap	-
hm333d	5264	swap	-
hm333e	5265	swap	-
hm334a	5266	swap	-
hm335a	5268	swap	-
hm336c	5270	swap	-
hm337a	5272	swap	-
hm337b	5273	swap	-
hm338a	5274	swap	-
hm338c	5275	swap	-
hm339d	5276	swap	-
hm340b	5278	swap	-
hm340e	5279	swap	-
hm341a	5280	swap	-
hm341e	5281	swap	-
hm342d	5282	swap	-
hm343a	5284	swap	-
hm344b	5286	swap	-
hm345a	5288	swap	-
hm346b	5290	swap	-
hm347b	5292	swap	-
hm401e	5300	swap	-
hm402c	5302	swap	-
hm403a	5304	swap	-
hm403c	5305	swap	-
hm404b	5306	swap	-
hm404c	5307	swap	-
hm405a	5308	swap	-
hm405c	5309	swap	-
hm406a	5310	swap	-
hm406c	5311	swap	-
hm407a	5312	swap	-
hm408a	5314	swap	-
hm408d	5315	swap	-
hm409a	5316	swap	-
hm409b	5317	swap	-
hm410c	5318	swap	-
hm411a	5320	swap	-
hm411c	5321	swap	-
hm412b	5322	swap	-
hm413d	5324	swap	-
hm414d	5326	swap	-
hm415c	5328	lock	-
hm415e	5329	lock	-
hm416a	5330	swap	-
hm416b	5331	swap	-
hm417c	5332	swap	-
hm418a	5334	swap	-
hm419a	5336	swap	-
hm420b	5338	swap	-
hm421e	5340	swap	-
hm422d	5342	swap	-
hm423a	5344	swap	-
hm424c	5346	swap	-
hm425a	5348	swap	-
hm425e	5349	swap	-
hm426b	5350	swap	-
hm426c	5351	swap	-
hm427a	5352	swap	-
hm427b	5353	swap	-
hm428a	5354	swap	-
hm429c	5356	swap	-
hm429d	5357	swap	-
hm430a	5358	swap	-
hm431c	5360	swap	-
hm432ca	5362	swap	-
hm433b	5364	swap	-
hm434a	5366	swap	-
hm435a	5368	swap	-
hm435b	5369	swap	-
hm436c	5370	swap	-
hm437b	5372	swap	-
hm437e	5373	swap	-
hm438b	5374	swap	-
hm438e	5375	swap	-
hm439d	5376	swap	-
hm440b	5378	swap	-
hm441e	5380	swap	-
hm442c	5382	swap	-
hm443a	5384	swap	-
hm443b	5385	swap	-
hm444b	5386	swap	-
hm444c	5387	swap	-
hm445b	5388	swap	-
hm446a	5390	swap	-
hm446d	5391	swap	-
hm447b	5392	swap	-
hf101a	5400	swap	-
hf101b	5401	swap	-
hf102b	5402	swap	-
hf102c	5403	swap	-
hf103a	5404	swap	-
hf103e	5405	swap	-
hf104a	5406	swap	-
hf104c	5407	swap	-
hf105a	5408	swap	-
hf105d	5409	swap	-
hf106a	5410	swap	-
hf106c	5411	swap	-
hf107a	5412	swap	-
hf107c	5413	swap	-
hf108a	5414	swap	-
hf108b	5415	swap	-
hf109a	5416	swap	-
hf109d	5417	swap	-
hf110a	5418	swap	-
hf111b	5420	swap	-
hf111d	5421	swap	-
hf112a	5422	swap	-
hf112c	5423	swap	-
hf113a	5424	swap	-
hf113d	5425	swap	-
hf114a	5426	swap	-
hf114b	5427	swap	-
hf115a	5428	lock	-
hf116a	5430	swap	-
hf116c	5431	swap	-
hf117c	5432	swap	-
hf118d	5434	swap	-
hf119a	5436	swap	-
hf119e	5437	swap	-
hf120d	5438	swap	-
hf121c	5440	swap	-
hf122a	5442	swap	-
hf123b	5444	swap	-
hf123d	5445	swap	-
hf124a	5446	swap	-
hf124e	5447	swap	-
hf125d	5448	swap	-
hf125f	5449	swap	-
hf126c	5450	swap	-
hf126e	5451	swap	-
hf127b	5452	swap	-
hf127e	5453	swap	-
hf128c	5454	swap	-
hf128d	5455	swap	-
hf129a	5456	swap	-
hf129c	5457	swap	-
hf130a	5458	swap	-
hf130d	5459	swap	-
hf131d	5460	swap	-
hf131e	5461	swap	-
hf132b	5462	swap	-
hf133b	5464	swap	-
hf134c	5466	swap	-
hf135b	5468	swap	-
hf136a	5470	swap	-
hf137c	5472	swap	-
hf137d	5473	swap	-
hf138a	5474	swap	-
hf138e	5475	swap	-
hf139d	5476	swap	-
hf139e	5477	swap	-
hf140a	5478	swap	-
hf140b	5479	swap	-
hf141b	5480	swap	-
hf141c	5481	swap	-
hf142b	5482	swap	-
hf142c	5483	swap	-
hf143a	5484	swap	-
hf143e	5485	swap	-
hf144c	5486	swap	-
hf144e	5487	swap	-
hf145b	5488	swap	-
hf145e	5489	swap	-
hf146b	5490	swap	-
hf146d	5491	swap	-
hf147c	5492	swap	-
