	ID	NPC_ID	Name	Map	X	Y	Z	Skill	Mastery	Gold	GoldW	GoldBuySkill	SkillPoints	SkillPointsW	AllowSkillBuy	RecommendNPC	TxtMasterDes	TxtRecommendDes	Autonote	TextSkillLearned	TextSkillAlreadyKnown	TextNotEnoughGold	TextWrongClass
12	amberlearningexp	464	Sophia Shirley	amber.odm	5689	14390	609	Learning	E	500	1250	400	4	4	1	0	477	 	Learning Expert, Sophia Shirley\n\nAmber Island: White house - Town, Rich District.	 	 	 	 
13	amberleatherexp	465	Valeria Timar	amber.odm	-4101	-4101	33	Leather	E	500	1250	400	4	4	1	0	396	 	Leather Expert, Valeria Timar\n\nAmber Island: First stone house - Town, western entrance	 	 	 	 
14	ambermaceexp	466	Oswald of Umbria	amber.odm	504	5583	97	Mace	E	2000	3000	400	4	4	1	0	387	 	Mace Expert, Oswald of Umbria\n\nAmber Island: Big stone house near inn - Town, western district.	 	 	 	 
15	ambermedexp	467	Hugo Barnes	amber.odm	5081	1561	130	Meditation	E	500	1250	400	4	4	1	0	444	 	Meditation Expert, Hugo Barnes\n\nAmber Island: 2-storey house near Mercenary Guild - Town, mage district.	 	 	 	 
16	ambermerchantexp	468	Edith Chapman	amber.odm	743	14095	362	Merchant	E	2000	3000	400	4	4	1	0	435	 	Merchant Expert, Edith Chapman\n\nAmber Island: North-west house - Town, rich district.	 	 	 	 
17	amberperexp	469	Ophelia Sage	amber.odm	-1784	6952	6952	Perception	E	500	1250	400	4	4	1	0	447	 	Perception Expert, Ophelia Sage\n\nAmber Island: Yellow house - Town, western district.	 	 	 	 
18	amberplateexp	470	Ethan Armstrong	amber.odm	-4361	7639	1	Plate	E	1000	2250	400	4	4	1	0	402	 	Plate Expert, Ethan Armstrong\n\nAmber Island: Corner (L-shaped) house - Town, western entrance.	 	 	 	 
19	amberrepexp	471	Craig	amber.odm	497	10238	136	Repair	E	500	1250	400	4	4	1	0	438	 	Repair Expert, Craig\n\nAmber Island: Poor house - Town, west of City Hall.	 	 	 	 
20	ambershieldexp	472	Aldren Ryder	amber.odm	2180	12468	385	Shield	E	1000	2250	400	4	4	1	0	393	 	Shield Expert, Aldren Ryder\n\nAmber Island: West duplex - Town, Rich District.	 	 	 	 
21	amberspearexp	473	Brigid Ryder	amber.odm	2180	12468	385	Spear	E	2000	3000	400	4	4	1	0	381	 	Spear Expert, Brigid Ryder\n\nAmber Island: West duplex - Town, Rich District.	 	 	 	 
22	amberstaffexp	474	Audrey Boyce	amber.odm	-2063	13499	1	Staff	E	13499	1250	400	4	4	1	0	369	 	Staff Expert, Audrey Boyce\n\nAmber Island: Boathouse - Town, west coast.	 	 	 	 
23	amberstealexp	475	Bradan Colby	amber.odm	0	0	0	Stealing	E	500	1250	400	4	4	1	0	471	 	Stealing Expert, Bradan Colby\n\nAmber Island: East house on a hill - Port Island.	 	 	 	 
24	amberswordexp	476	Elmar Mitchell	amber.odm	19984	-19784	1	Sword	E	2000	3000	400	4	4	1	0	372	 	Sword Expert, Elmar Mitchell\n\nAmber Island: Knight camp - Southeastern Swamp Island.	 	 	 	 
25	amberunarmedexp	477	Conrad Hawk	amber.odm	1580	8705	97	Unarmed	E	15	25	10	2	4	1	0	462	 	Unarmed Expert, Conrad Hawk\n\nAmber Island: Inn - Town, center.	 	 	 	 
26	amberfireexp	478	Alfred Brand	amber.odm	-751	8900	142	Fire	E	1000	2250	800	4	4	1	0	405	 	Fire Expert, Alfred Brand\n\nAmber Island: North duplex - Town, western district.	 	 	 	 
27	amberairexp	479	Avira Lightfeather	amber.odm	-748	7981	142	Air	E	1000	2250	800	4	4	1	0	408	 	Air Expert, Avira Lightfeather\n\nAmber Island: South duplex - Town, western district.	 	 	 	 
28	amberwaterexp	480	Magee Wells	amber.odm	-1800	8156	33	Water	E	1000	2250	800	4	4	1	0	411	 	Water Expert, Magee Wells\n\nAmber Island: Bridge house south - Town, western district.	 	 	 	 
29	amberearthexp	481	John Aarden	amber.odm	-1800	8750	33	Earth	E	1000	2250	800	4	4	1	0	414	 	Earth Expert, John Aarden\n\nAmber Island: Bridge house north - Town, western district.	 	 	 	 
30	amberspiritexp	482	Asgerd Lund	amber.odm	5680	5590	129	Spirit	E	1000	2250	800	4	4	1	0	417	 	Spirit Expert, Asgerd Lund\n\nAmber Island: Purple house near Spirit Guild - Town, mage district.	 	 	 	 
31	ambermindexp	483	Timothy Leary	amber.odm	-1424	4842	257	Mind	E	1000	2250	800	4	4	1	0	420	 	Mind Expert, Timothy Leary\n\nAmber Island: 2-storey blue house near Prison Tower - Town, western district.	 	 	 	 
32	amberbodyexp	484	Andreas Vesalius	amber.odm	2532	2532	128	Body	E	1000	2250	800	4	4	1	0	423	 	Body Expert, Andreas Vesalius\n\nAmber Island: Huge house - Town, mage district, near Fire Guild.	 	 	 	 
