House	Shop	Level	1	2	3	4	Comments
141	Guild	10					
142	Guild	11					
143	Guild	4					
144	Guild	7					
145	Guild	10					
146	Guild	11					
147	Guild	4					
148	Guild	7					
149	Guild	10					
150	Guild	11					
151	Guild	4					
152	Guild	7					
153	Guild	10					
154	Guild	11					
155	Guild	4					
156	Guild	7					
157	Guild	10					
158	Guild	11					
159	Guild	4					
160	Guild	7					
161	Guild	10					
162	Guild	11					
163	Guild	4					
164	Guild	7					
165	Guild	10					
166	Guild	11					
167	Guild	7					
168	Guild	11					
169	Guild	7					
170	Guild	11					
139	GuildAward	54					Award number required to access the guild.
140	GuildAward	54					
141	GuildAward	54					
142	GuildAward	54					
143	GuildAward	52					
144	GuildAward	52					
145	GuildAward	52					
146	GuildAward	52					
147	GuildAward	55					
148	GuildAward	55					
149	GuildAward	55					
150	GuildAward	55					
151	GuildAward	53					
152	GuildAward	53					
153	GuildAward	53					
154	GuildAward	53					
155	GuildAward	58					
156	GuildAward	58					
157	GuildAward	58					
158	GuildAward	58					
159	GuildAward	57					
160	GuildAward	57					
161	GuildAward	57					
162	GuildAward	57					
163	GuildAward	56					
164	GuildAward	56					
165	GuildAward	56					
166	GuildAward	56					
167	GuildAward	59					
168	GuildAward	59					
169	GuildAward	60					
170	GuildAward	60					
