	Party	Angel 	Archer	Bat	Behemoth	Beholder	Cleric Moon	Cleric Sun	Devil	Dragon	Dragonfly	Dwarf	Elemental Air	Elemental Earth	Elemental Fire	Elemental Light	Elemental Water	Elf Archer	Elf Spearman	Fighter Chain	Fighter Leather	Fighter Plate	Gargoyle	Genie	Ghost	Goblin	Gog	Golem	Griffin	Harpy	Hydra	Lich	Mage	Manticore	Medusa	Minotaur	Monk	Necromancer	Ooze	Peasant Dwarf Male A	Peasant Dwarf Male B	Peasant Dwarf Male C	Peasant Dwarf Female A	Peasant Dwarf Female B	Peasant Dwarf Female C	Peasant Elf Male A	Peasant Elf Male B	Peasant Elf Male C	Peasant Elf Female A	Peasant Elf Female B	Peasant Elf Female C	Peasant Human Female 1 A	Peasant Human Female 1 B	Peasant Human Female 1 C	Peasant Human Male 1 A	Peasant Human Male 1 B	Peasant Human Male 1 C	Peasant Human Female 2 A	Peasant Human Female 2 B	Peasant Human Female 2 C	Peasant Human Male 2 A	Peasant Human Male 2 B	Peasant Human Male 2 C	Rat	Robot	Roc	Shark	Skeleton Warrior	Spider	Swordsman	Thief	Titan	Troglodyte	Vampire	Warlock	Wight	Wyvern	Zombie	Peasant Goblin Female A	Peasant Goblin Female B	Peasant Goblin Female C	Peasant Goblin Male A	Peasant Goblin Male B	Peasant Goblin Male C	Troll	Treant	Ghoul	Blaster	Mega
Dragonfly	0	0	4	0	3	4	3	0	3	4	0	2	3	3	3	3	3	0	0	2	2	2	0	4	4	2	4	1	4	4	3	4	4	2	3	2	2	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	4	4	2	0	1	3	4	3	4	4	2	4	2	2	1	1	1	1	1	2	1	2	2	2
Dwarf	0	0	0	0	3	4	3	0	3	4	3	0	3	0	3	3	3	0	0	0	0	0	0	0	4	2	4	0	4	4	3	4	0	2	3	2	0	4	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	4	2	0	0	3	4	3	4	4	2	4	2	2	1	1	1	1	1	2	1	2	2	2
Elemental Air	0	4	4	0	3	4	0	0	3	4	0	0	0	3	3	3	3	4	3	2	2	2	0	4	4	2	4	1	4	4	3	0	0	2	3	2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	0	4	0	0	2	3	4	3	0	4	0	4	0	0	1	1	1	1	1	2	1	0	0	0
Elemental Earth	0	4	4	0	0	4	0	0	3	4	0	0	3	0	3	3	3	4	3	2	2	2	0	4	4	2	4	1	4	4	3	0	0	2	3	2	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	4	0	4	0	0	2	3	4	0	0	4	0	4	0	0	1	1	1	1	1	2	0	0	0	0
Elemental Fire	0	4	4	0	0	4	0	0	3	4	0	0	3	3	0	3	3	4	3	2	2	2	0	4	4	2	0	1	4	4	3	0	0	2	3	2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	0	4	0	0	2	3	4	3	0	4	0	4	0	0	1	1	1	1	1	2	1	0	0	0
Elemental Light	0	0	0	0	3	4	3	0	3	4	0	0	0	3	3	0	3	0	0	0	0	0	0	0	4	2	4	0	0	4	3	4	0	2	3	2	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	2	0	0	0	4	3	4	4	2	4	2	2	1	1	1	1	1	2	0	2	2	2
Elemental Water	0	4	4	0	3	4	0	0	3	4	0	0	3	3	3	3	0	0	0	2	2	2	0	4	4	2	4	1	4	4	3	0	0	2	3	2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	0	4	0	0	2	3	4	3	0	4	0	4	0	0	1	1	1	1	1	2	1	0	0	0
Elf Archer	0	0	4	2	3	4	0	0	3	4	0	0	3	3	3	0	0	0	0	2	2	2	0	0	4	2	4	0	4	4	3	4	0	2	3	2	0	4	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	2	4	0	4	2	0	2	0	4	3	4	4	2	0	2	2	1	1	1	1	1	2	0	2	2	2
Elf Spearman	0	0	4	2	3	4	0	0	3	4	0	0	3	3	3	0	0	0	0	2	2	2	0	0	4	2	4	0	4	4	3	4	0	2	3	2	0	4	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	2	4	0	4	2	0	2	0	4	3	4	4	2	0	2	2	1	1	1	1	1	2	0	2	2	2
Fighter Chain	0	0	0	2	3	4	0	0	3	4	3	0	3	3	3	0	3	4	3	0	0	0	0	0	4	2	4	0	0	4	3	4	0	2	3	2	0	4	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	4	2	0	0	0	4	3	4	4	2	4	2	2	1	1	1	1	1	2	1	2	2	2
Fighter Leather	0	0	0	2	3	4	0	0	3	4	3	0	3	3	3	0	3	4	3	0	0	0	0	0	4	0	4	0	0	4	3	4	0	2	3	2	0	4	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	4	2	0	0	0	4	3	4	4	2	4	2	2	1	1	1	1	1	2	1	2	2	2
Fighter Plate	0	0	0	2	3	4	0	0	3	4	3	0	3	3	3	0	3	4	3	0	0	0	0	0	4	2	4	0	0	4	3	4	0	2	3	2	0	4	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	4	2	0	0	0	4	3	4	4	2	4	2	2	1	1	1	1	1	2	1	2	2	2
Gargoyle	0	4	4	0	3	4	3	0	3	4	3	0	3	3	3	3	3	4	3	2	2	2	0	0	4	2	4	1	4	4	3	4	0	2	3	2	0	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	0	4	2	0	2	3	4	3	4	4	2	4	2	2	1	1	1	1	1	2	1	2	2	2
Genie	0	0	0	0	3	4	3	0	3	4	3	0	0	3	3	0	3	0	0	0	0	0	0	0	4	2	4	0	0	4	3	4	0	2	3	2	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	4	2	0	0	0	4	3	4	4	2	4	2	2	1	1	1	1	1	2	0	2	2	2
Ghost	0	4	4	0	3	4	0	3	3	4	3	2	3	3	3	3	3	4	3	2	2	2	0	4	0	0	0	1	4	0	0	0	4	0	0	0	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	4	4	4	0	0	2	3	4	3	0	4	0	4	0	0	0	0	0	0	0	0	1	0	0	0
Goblin	0	4	4	0	3	4	0	3	3	4	3	2	3	0	3	3	3	4	3	2	0	0	0	4	0	0	0	1	4	0	0	0	4	0	0	0	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	4	4	4	0	0	2	0	4	0	0	4	0	4	0	0	0	0	0	0	0	0	1	0	0	0
Gog	0	4	4	0	0	4	0	3	3	4	3	2	3	3	0	3	3	4	3	2	2	2	0	4	0	0	0	1	4	0	0	0	4	0	0	0	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	4	4	4	0	0	2	3	4	0	0	4	0	4	0	0	0	0	0	0	0	0	1	0	0	0
Golem	0	4	4	0	3	4	0	3	3	4	3	2	3	0	3	3	3	4	3	2	0	0	0	4	0	0	0	0	4	0	0	0	4	0	0	0	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	4	4	4	0	0	2	0	4	0	0	4	0	4	0	0	0	0	0	0	0	0	1	0	0	0
Griffin	0	0	0	0	3	4	3	0	3	4	3	0	3	3	3	0	3	0	0	0	0	0	0	0	4	2	4	0	0	4	3	4	0	2	3	2	0	4	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	4	2	0	0	0	4	3	4	4	2	4	2	2	1	1	1	1	1	2	0	2	2	2
Harpy	0	4	4	0	3	4	0	3	3	4	3	2	3	3	3	3	3	4	3	2	2	2	0	4	0	0	0	1	4	0	0	0	4	0	0	0	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	4	4	0	0	2	3	4	3	0	4	0	4	0	0	0	0	0	0	0	0	1	0	0	0
Hydra	0	4	4	0	3	0	0	3	3	4	3	2	3	3	3	3	0	4	3	2	2	2	0	4	0	0	0	1	4	0	0	0	4	0	0	0	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	4	4	0	0	2	3	4	3	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0
Lich	0	4	4	0	3	4	0	3	3	4	3	2	3	3	0	3	3	4	3	2	2	2	0	4	0	0	0	1	4	0	0	0	4	0	0	0	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	4	4	4	0	0	2	3	4	3	0	4	0	4	0	0	0	0	0	0	0	0	1	0	0	0
Mage	0	0	0	2	3	4	3	0	3	4	0	0	0	3	0	0	3	0	0	0	0	0	0	0	4	2	4	0	0	4	3	4	0	2	3	2	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	4	2	0	0	0	4	3	4	4	2	4	2	2	1	1	1	1	1	2	0	2	2	2
Manticore	0	4	4	0	0	0	0	3	3	4	3	2	3	3	3	3	3	4	3	2	2	2	0	4	0	0	0	1	4	0	0	0	4	0	0	0	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	4	4	4	0	0	2	3	4	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0
Medusa	0	4	4	0	0	4	0	3	3	4	3	2	3	3	3	3	3	4	3	2	2	2	0	4	0	0	0	1	4	0	0	0	4	0	0	0	2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	4	4	4	0	0	2	3	4	0	0	4	0	4	0	0	0	0	0	0	0	0	1	0	0	0
Minotaur	0	4	4	0	0	0	0	3	3	4	3	2	3	3	3	3	3	4	3	2	2	2	0	0	0	0	0	1	4	0	0	0	4	0	0	0	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	4	4	4	0	0	2	3	4	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0
Monk	0	0	0	0	3	4	3	0	3	4	3	0	3	3	3	0	3	0	0	0	0	0	0	0	4	2	4	0	0	4	3	4	0	2	3	2	0	4	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	4	2	0	0	0	4	3	4	4	2	4	2	2	1	1	1	1	1	2	0	2	2	2
Necromancer	0	4	4	0	3	4	0	3	3	4	3	2	3	3	0	3	3	4	3	2	2	2	0	4	0	0	0	1	4	0	0	0	4	0	0	0	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	4	4	4	0	0	2	3	4	3	0	4	0	4	0	0	0	0	0	0	0	0	1	0	0	0
Ooze	0	4	4	0	3	4	0	3	3	4	3	2	3	0	3	3	0	4	3	2	2	2	0	4	0	0	0	1	4	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	4	4	4	0	0	2	3	4	3	0	4	0	4	0	0	0	0	0	0	0	0	1	0	0	0
Peasant Dwarf FemaleA	0	0	0	2	2	2	0	0	3	4	2	0	2	2	2	0	2	0	0	0	0	0	0	0	2	1	2	0	0	2	2	2	0	1	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	4	1	0	0	0	2	1	2	2	1	2	1	1	0	0	0	0	0	1	1	1	1	1
Peasant Dwarf FemaleB	0	0	0	2	2	2	0	0	3	4	2	0	2	2	2	0	2	0	0	0	0	0	0	0	2	1	2	0	0	2	2	2	0	1	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	4	1	0	0	0	2	1	2	2	1	2	1	1	0	0	0	0	0	1	1	1	1	1
Peasant Dwarf FemaleC	0	0	0	2	2	2	0	0	3	4	2	0	2	2	2	0	2	0	0	0	0	0	0	0	2	1	2	0	0	2	2	2	0	1	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	4	1	0	0	0	2	1	2	2	1	2	1	1	0	0	0	0	0	1	1	1	1	1
Peasant Dwarf MaleA	0	0	0	2	2	2	0	0	3	4	2	0	2	2	2	0	2	0	0	0	0	0	0	0	2	1	2	0	0	2	2	2	0	1	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	4	1	0	0	0	2	1	2	2	1	2	1	1	0	0	0	0	0	1	1	1	1	1
Peasant Dwarf MaleB	0	0	0	2	2	2	0	0	3	4	2	0	2	2	2	0	2	0	0	0	0	0	0	0	2	1	2	0	0	2	2	2	0	1	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	4	1	0	0	0	2	1	2	2	1	2	1	1	0	0	0	0	0	1	1	1	1	1
Peasant Dwarf MaleC	0	0	0	2	2	2	0	0	3	4	2	0	2	2	2	0	2	0	0	0	0	0	0	0	2	1	2	0	0	2	2	2	0	1	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	4	1	0	0	0	2	1	2	2	1	2	1	1	0	0	0	0	0	1	1	1	1	1
Peasant Elf FemaleA	0	0	0	2	2	2	0	0	3	4	0	0	2	2	2	0	2	0	0	0	0	0	0	0	2	1	2	0	2	2	2	2	0	1	2	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	4	1	0	0	0	2	1	2	2	1	4	1	1	0	0	0	0	0	1	0	1	1	1
Peasant Elf FemaleB	0	0	0	2	2	2	0	0	3	4	0	0	2	2	2	0	2	0	0	0	0	0	0	0	2	1	2	0	2	2	2	2	0	1	2	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	4	1	0	0	0	2	1	2	2	1	4	1	1	0	0	0	0	0	1	0	1	1	1
Peasant Elf FemaleC	0	0	0	2	2	2	0	0	3	4	0	0	2	2	2	0	2	0	0	0	0	0	0	0	2	1	2	0	2	2	2	2	0	1	2	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	4	1	0	0	0	2	1	2	2	1	4	1	1	0	0	0	0	0	1	0	1	1	1
Peasant Elf MaleA	0	0	0	2	2	2	0	0	3	4	0	0	2	2	2	0	2	0	0	0	0	0	0	0	2	1	2	0	2	2	2	2	0	1	2	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	4	1	0	0	0	2	1	2	2	1	4	1	1	0	0	0	0	0	1	0	1	1	1
Peasant Elf MaleB	0	0	0	2	2	2	0	0	3	4	0	0	2	2	2	0	2	0	0	0	0	0	0	0	2	1	2	0	2	2	2	2	0	1	2	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	4	1	0	0	0	2	1	2	2	1	4	1	1	0	0	0	0	0	1	0	1	1	1
Peasant Elf MaleC	0	0	0	2	2	2	0	0	3	4	0	0	2	2	2	0	2	0	0	0	0	0	0	0	2	1	2	0	2	2	2	2	0	1	2	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	4	1	0	0	0	2	1	2	2	1	4	1	1	0	0	0	0	0	1	0	1	1	1
Peasant Human1 FemaleA	0	0	0	2	2	2	0	0	3	4	2	0	2	2	2	0	2	0	0	0	0	0	0	0	2	1	2	0	0	2	2	2	0	1	2	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	4	1	2	0	0	2	1	2	2	1	2	1	1	0	0	0	0	0	1	1	1	1	1
Peasant Human1 FemaleB	0	0	0	2	2	2	0	0	3	4	2	0	2	2	2	0	2	0	0	0	0	0	0	0	2	1	2	0	0	2	2	2	0	1	2	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	4	1	2	0	0	2	1	2	2	1	2	1	1	0	0	0	0	0	1	1	1	1	1
Peasant Human1 FemaleC	0	0	0	2	2	2	0	0	3	4	2	0	2	2	2	0	2	0	0	0	0	0	0	0	2	1	2	0	0	2	2	2	0	1	2	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	4	1	2	0	0	2	1	2	2	1	2	1	1	0	0	0	0	0	1	1	1	1	1
Peasant Human1 MaleA	0	0	0	2	2	2	0	0	3	4	2	0	2	2	2	0	2	0	0	0	0	0	0	0	2	1	2	0	0	2	2	2	0	1	2	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	4	1	2	0	0	2	1	2	2	1	2	1	1	0	0	0	0	0	1	1	1	1	1
Peasant Human1 MaleB	0	0	0	2	2	2	0	0	3	4	2	0	2	2	2	0	2	0	0	0	0	0	0	0	2	1	2	0	0	2	2	2	0	1	2	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	4	1	2	0	0	2	1	2	2	1	2	1	1	0	0	0	0	0	1	1	1	1	1
Peasant Human1 MaleC	0	0	0	2	2	2	0	0	3	4	2	0	2	2	2	0	2	0	0	0	0	0	0	0	2	1	2	0	0	2	2	2	0	1	2	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	4	1	2	0	0	2	1	2	2	1	2	1	1	0	0	0	0	0	1	1	1	1	1
Peasant Human2 FemaleA	0	0	0	2	2	2	0	0	3	4	2	0	2	2	2	0	2	0	0	0	0	0	0	0	2	1	2	0	0	2	2	2	0	1	2	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	4	1	0	0	0	2	1	2	2	1	2	1	1	0	0	0	0	0	1	1	1	1	1
Peasant Human2 FemaleB	0	0	0	2	2	2	0	0	3	4	2	0	2	2	2	0	2	0	0	0	0	0	0	0	2	1	2	0	0	2	2	2	0	1	2	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	4	1	0	0	0	2	1	2	2	1	2	1	1	0	0	0	0	0	1	1	1	1	1
Peasant Human2 FemaleC	0	0	0	2	2	2	0	0	3	4	2	0	2	2	2	0	2	0	0	0	0	0	0	0	2	1	2	0	0	2	2	2	0	1	2	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	4	1	0	0	0	2	1	2	2	1	2	1	1	0	0	0	0	0	1	1	1	1	1
Peasant Human2 MaleA	0	0	0	2	2	2	0	0	3	4	2	0	2	2	2	0	2	0	0	0	0	0	0	0	2	1	2	0	0	2	2	2	0	1	2	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	4	1	0	0	0	2	1	2	2	1	2	1	1	0	0	0	0	0	1	1	1	1	1
Peasant Human2 MaleB	0	0	0	2	2	2	0	0	3	4	2	0	2	2	2	0	2	0	0	0	0	0	0	0	2	1	2	0	0	2	2	2	0	1	2	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	4	1	0	0	0	2	1	2	2	1	2	1	1	0	0	0	0	0	1	1	1	1	1
Peasant Human2 MaleC	0	0	0	2	2	2	0	0	3	4	2	0	2	2	2	0	2	0	0	0	0	0	0	0	2	1	2	0	0	2	2	2	0	1	2	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	4	1	0	0	0	2	1	2	2	1	2	1	1	0	0	0	0	0	1	1	1	1	1
Rat	0	4	4	0	0	4	0	3	3	4	3	2	3	0	3	3	3	4	3	2	2	2	0	4	0	0	0	1	4	0	3	0	4	0	0	0	2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	4	4	4	0	0	1	3	4	0	0	4	0	4	0	0	0	0	0	0	0	0	1	0	0	0
Robot	0	4	4	0	3	4	3	3	3	4	3	0	3	3	3	3	3	4	3	2	2	2	0	4	4	2	4	1	4	4	3	4	4	2	3	2	2	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0	4	4	2	0	2	3	4	3	4	4	2	4	2	2	1	1	1	1	1	2	1	2	2	2
Roc	0	0	0	0	3	4	3	0	3	4	0	0	0	3	3	0	3	0	0	0	0	0	0	4	4	2	4	0	0	4	3	4	0	2	3	2	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	4	2	0	0	0	4	3	4	4	2	4	2	2	1	1	1	1	1	2	1	2	2	2
Shark	0	4	4	0	3	4	3	3	3	4	3	2	3	3	3	3	0	4	3	2	2	2	0	4	4	2	4	1	4	4	3	4	4	2	3	2	2	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	4	0	2	0	2	3	4	3	4	4	2	4	2	2	1	1	1	1	1	2	1	2	2	2
